[Wed Mar 25 20:36:10 2026] R1:20, R2:10, EMER:2 -> GREEN:2
[Wed Mar 25 20:36:11 2026] R1:20, R2:10, EMER:2 -> GREEN:2
[Wed Mar 25 20:36:12 2026] R1:20, R2:10, EMER:2 -> GREEN:2
[Wed Mar 25 20:36:13 2026] R1:20, R2:10, EMER:2 -> GREEN:2
[Wed Mar 25 20:36:14 2026] R1:20, R2:10, EMER:2 -> GREEN:2
[Wed Mar 25 20:36:15 2026] R1:20, R2:10, EMER:2 -> GREEN:2
[Wed Mar 25 20:36:16 2026] R1:20, R2:10, EMER:2 -> GREEN:2
[Wed Mar 25 20:36:17 2026] R1:20, R2:10, EMER:2 -> GREEN:2
[Wed Mar 25 20:36:18 2026] R1:20, R2:10, EMER:2 -> GREEN:2
[Wed Mar 25 20:36:19 2026] R1:20, R2:10, EMER:2 -> GREEN:2
[Wed Mar 25 20:36:20 2026] R1:20, R2:10, EMER:2 -> GREEN:2
[Wed Mar 25 20:36:21 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:22 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:23 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:24 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:25 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:26 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:27 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:28 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:29 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:30 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:31 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:36:32 2026] R1:20, R2:10, EMER:0 -> GREEN:1
